symbol,name,industry,close,marketCap,aboveSma12m,aboveSma200,aboveSma150,vcp,contractions,volatilityRatio,pe,peTrend,fcf,fcfTrend,eps,epsTrend,freeFloatPct,closelyHeldPct,employees,rulesPassed,rulesTotal,score
EME,EMCOR Group Inc. Common Stock,Industrials,862.54,38046554009,true,true,true,false,18,0.19,,unknown,,unknown,,unknown,,,44000,6,12,5
HBAN,Huntington Bancshares Incorporated Common Stock,Finance,17.95,36266446127,true,true,true,false,14,0.12,,unknown,,unknown,,unknown,,,20424,6,12,5
ADM,Archer-Daniels-Midland Company Common Stock,Consumer Staples,81.29,39178494502,true,true,true,false,12,0.2,,unknown,,unknown,,unknown,,,41496,6,12,5
EXR,Extra Space Storage Inc Common Stock,Real Estate,146.89,31033385375,true,true,true,false,10,0.83,,unknown,,unknown,,unknown,,,8393,6,12,5
LITE,Lumentum Holdings Inc. Common Stock,Telecommunications,968.9,75380420000,true,true,true,false,13,0.37,,unknown,,unknown,,unknown,,,10562,6,12,5
BRO,Brown & Brown Inc. Common Stock,Finance,68.86,23041269183,true,true,true,false,12,1.02,,unknown,,unknown,,unknown,,,22888,6,12,5
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,Real Estate,25.87,30668405034,true,true,true,false,7,0.02,,unknown,,unknown,,unknown,,,54,6,12,5
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,Real Estate,25.65,30407599116,true,true,true,false,12,0.5,,unknown,,unknown,,unknown,,,54,6,12,5
FCNCA,First Citizens BancShares Inc. Class A Common Stock,Finance,2248.18,25388966522,true,true,true,false,10,0.12,,unknown,,unknown,,unknown,,,17876,6,12,5
AEE,Ameren Corporation Common Stock,Utilities,109.47,30306030687,true,true,true,false,14,3.21,,unknown,,unknown,,unknown,,,8913,6,12,5
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,Real Estate,25.35,30051954681,true,true,true,false,13,7.12,,unknown,,unknown,,unknown,,,54,6,12,5
